id_str,created_at,full_text,lang,retweet_count,favorite_count,entities,in_reply_to_screen_name,in_reply_to_user_id_str,in_reply_to_user_id_str,source,user.id_str,user.name,user.screen_name,user.description,user.location,user.followers_count,user.friends_count
1366207763936727043,2021-03-01 02:04:48,"RT @thenerdyderma: ""PGH should uphold the ideals of ethical and evidence-based medicine.""

I support my PGH colleagues in the call for SAFE…",en,240,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'thenerdyderma', 'name': 'The Nerdy Derma', 'id': 1013014316927332352, 'id_str': '1013014316927332352', 'indices': [3, 17]}], 'urls': []}",,,,Twitter for iPhone,760874625479872512,xxxxx,xxxxx,xxxxx,UPM,101,136
1366207729056894977,2021-03-01 02:04:40,"RT @cnnphilippines: LOOK: PGH Director Dr. Gap Legaspi is first Filipino to get the official vaccine shot from Sinovac, as the Philippines…",en,19,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'cnnphilippines', 'name': 'CNN Philippines', 'id': 2811559122, 'id_str': '2811559122', 'indices': [3, 18]}], 'urls': []}",,,,Twitter for iPhone,60051457,xxxxx,xxxxx,xxxxx,At the end of the rainbow.,69,155
1366207606298005504,2021-03-01 02:04:10,RT @PhilstarNews: @gaeacabico UP-PGH Director Gap Legaspi receives the first COVID-19 shot in the country. He was vaccinated with the vacci…,en,6,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'PhilstarNews', 'name': 'Philstar.com', 'id': 55118669, 'id_str': '55118669', 'indices': [3, 16]}, {'screen_name': 'gaeacabico', 'name': 'Gaea Cabico', 'id': 3458257873, 'id_str': '3458257873', 'indices': [18, 29]}], 'urls': []}",,,,Twitter for iPhone,1241299160411693056,xxxxx,xxxxx,xxxxx,"Petaling Jaya, Malaysia",102,1587
1366207549381353472,2021-03-01 02:03:57,RT @ABSCBNNews: @kristinesabillo PGH director Gerardo Legaspi is also the first Filipino vaccinated with the official and authorized dose o…,en,4,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ABSCBNNews', 'name': 'ABS-CBN News', 'id': 15872418, 'id_str': '15872418', 'indices': [3, 14]}, {'screen_name': 'kristinesabillo', 'name': 'Kristine Sabillo 🇵🇭', 'id': 2710893258, 'id_str': '2710893258', 'indices': [16, 32]}], 'urls': []}",,,,Twitter for Android,1325785017612603392,xxxxx,xxxxx,xxxxx,Earth,117,456
1366207532880916480,2021-03-01 02:03:53,"RT @cnnphilippines: Testing czar Vince Dizon receives Sinovac's COVID-19 vaccine at Tala Hospital, Caloocan City https://t.co/T3X78VT8FL",en,11,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'cnnphilippines', 'name': 'CNN Philippines', 'id': 2811559122, 'id_str': '2811559122', 'indices': [3, 18]}], 'urls': [], 'media': [{'id': 1366206828346896387, 'id_str': '1366206828346896387', 'indices': [113, 136], 'media_url': 'http://pbs.twimg.com/media/EvW93zVUcAMj56O.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EvW93zVUcAMj56O.jpg', 'url': 'https://t.co/T3X78VT8FL', 'display_url': 'pic.twitter.com/T3X78VT8FL', 'expanded_url': 'https://twitter.com/cnnphilippines/status/1366206892255547392/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1493, 'h': 830, 'resize': 'fit'}, 'small': {'w': 680, 'h': 378, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 667, 'resize': 'fit'}}, 'source_status_id': 1366206892255547392, 'source_status_id_str': '1366206892255547392', 'source_user_id': 2811559122, 'source_user_id_str': '2811559122'}]}",,,,Twitter for Android,982241081612845056,xxxxx,xxxxx,xxxxx,"Kidapawan City, Soccsksargen",176,179
1366207532029464580,2021-03-01 02:03:53,"RT @cnnphilippines: LOOK: PGH Director Dr. Gap Legaspi is first Filipino to get the official vaccine shot from Sinovac, as the Philippines…",en,19,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'cnnphilippines', 'name': 'CNN Philippines', 'id': 2811559122, 'id_str': '2811559122', 'indices': [3, 18]}], 'urls': []}",,,,Twitter Web App,2476706204,xxxxx,xxxxx,xxxxx,nowhere to be found,271,1004
1366207524039364610,2021-03-01 02:03:51,RT @cnnphilippines: BREAKING: Philippine General Hospital Director Dr. Gap Legaspi is the first in the Philippines to receive Sinovac's COV…,en,24,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'cnnphilippines', 'name': 'CNN Philippines', 'id': 2811559122, 'id_str': '2811559122', 'indices': [3, 18]}], 'urls': []}",,,,Twitter for Android,929303381121703936,xxxxx,xxxxx,xxxxx,@RejectsPh,596,377
1366207523867422723,2021-03-01 02:03:51,RT @ABSCBNNews: PGH director to be first to receive Sinovac #COVID19 vaccine #COVID19VaccinePH https://t.co/SnQVSZAibu,en,33,0,"{'hashtags': [{'text': 'COVID19', 'indices': [60, 68]}, {'text': 'COVID19VaccinePH', 'indices': [77, 94]}], 'symbols': [], 'user_mentions': [{'screen_name': 'ABSCBNNews', 'name': 'ABS-CBN News', 'id': 15872418, 'id_str': '15872418', 'indices': [3, 14]}], 'urls': [{'url': 'https://t.co/SnQVSZAibu', 'expanded_url': 'https://bit.ly/3bPXmaT', 'display_url': 'bit.ly/3bPXmaT', 'indices': [95, 118]}]}",,,,Twitter for Android,1325785017612603392,xxxxx,xxxxx,xxxxx,Earth,117,456
1366207522768527364,2021-03-01 02:03:50,"FULL STORY: Health workers and government officials who choose receive Sinovac’s vaccine are among the first to be legally vaccinated in the Philippines.

https://t.co/IEaLPBFjLv",en,1,5,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/IEaLPBFjLv', 'expanded_url': 'https://www.rappler.com/nation/philippines-begins-legally-rolling-out-covid-19-vaccine-march-1-2021', 'display_url': 'rappler.com/nation/philipp…', 'indices': [155, 178]}]}",rapplerdotcom,1366205287493902337,330826792,TweetDeck,330826792,xxxxx,xxxxx,xxxxx,Philippines,3432709,403
1366207477700722688,2021-03-01 02:03:40,RT @gmanews: University of the Philippines-Philippine General Hospital (UP-PGH) director Dr. Gerardo Legaspi on Monday became the Philippin…,en,36,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'gmanews', 'name': 'GMA News', 'id': 39453212, 'id_str': '39453212', 'indices': [3, 11]}], 'urls': []}",,,,Twitter for Android,706328063647219712,xxxxx,xxxxx,xxxxx,Caloocan x Ilocos Sur,601,1113
